Color,Sticker
brown,no
green,no
gray,no
gray,yes
purple,no
gray,yes
yellow,no
gray,no
yellow,no
gray,no
white,yes
blue,yes
white,yes
black,yes
red,yes
white,yes
white,yes
white,yes
white,yes
black,yes
gray,yes
white,yes
red,yes
orange,no
gray,yes
green,no
black,no
green,no
blue,yes
white,no
yellow,yes
blue,yes
yellow,no
gray,no
white,yes
yellow,no
blue,yes
blue,yes
yellow,no
yellow,yes
green,no
gray,yes
gray,no
gray,no
tan,no
gray,yes
gray,no
yellow,yes
black,yes
black,yes
white,yes
blue,no
gray,no
blue,no
gray,yes
gray,yes
blue,yes
white,yes
purple,yes
white,no
black,no
gray,no
white,yes
white,yes
green,yes
blue,yes
red,yes
gray,no
gray,no
white,yes
black,yes
blue,yes
white,yes
brown,no
white,yes
black,yes
gray,no
green,no
green,yes
white,yes
black,yes
gray,no
yellow,no
white,yes
yellow,yes
yellow,yes
yellow,yes
cyan,no
green,yes
white,yes
blue,no
white,yes
gray,yes
black,yes
clear,no
white,yes
gray,no
white,yes
red,yes
white,no
red,yes
green,yes
white,yes
blue,yes
white,yes
white,yes
cyan,no
red,yes
purple,yes
black,no
blue,no
white,yes
white,yes
blue,no
pink,no
yellow,no
tan,no
black,yes
white,yes
green,yes
cyan,yes
brown,yes
white,yes
white,no
white,yes
white,yes
blue,no
white,yes
blue,no
pink,no
red,yes
black,yes
blue,no
orange,no
orange,no
gray,no
blue,no
white,no
black,yes
white,no
orange,no
green,no
orange,yes
gray,no
purple,no
black,yes
white,yes
brown,no
yellow,no
blue,yes
cyan,yes
green,no
blue,yes
gray,no
yellow,yes
blue,no
gray,no
orange,no
blue,yes
green,no
red,no
gray,yes
pink,no
black,yes
white,no
brown,yes
yellow,yes
blue,no
cyan,yes
green,yes
blue,yes
gray,yes
yellow,no
blue,yes
white,yes
yellow,yes
blue,no
green,yes
red,no
blue,no
tan,no
black,yes
cyan,no
gray,no
blue,no
purple,yes
yellow,no
red,yes
gray,no
yellow,yes
gray,yes
blue,yes
white,yes
blue,yes
cyan,no
white,yes
blue,no
green,no
white,yes
brown,yes
cyan,no
yellow,yes
black,no
gray,yes
red,yes
orange,yes
white,yes
white,yes
brown,no
white,no
green,yes
orange,yes
white,no
brown,no
green,no
red,yes
white,no
blue,no
green,yes
gray,yes
yellow,yes
gray,no
gray,no
white,yes
brown,yes
orange,no
gray,yes
black,yes
red,no
pink,no
blue,yes
pink,yes
gray,no
orange,yes
white,yes
green,yes
white,yes
red,no
brown,yes
white,no
blue,yes
white,yes
green,yes
red,yes
blue,no
gray,yes
yellow,yes
white,yes
white,yes
brown,yes
